#####################################################
## ADJECTIEVENLIJST EN REFERENTIENUMMERS
## Bron: Het achtste vuur 
#####################################################
## opmaakt moet er uit zien zoals op volgende lijn
## adjectief: nummer1, nummer2, ..., nummern
## Voorbeeld:
## Aangenaam: 33, 188, 266
#####################################################
Aangenaam:	33, 188, 266
Aanhalig:	25
Aanhankelijk:	83, 90, 132, 142, 139, 181, 211, 212, 249, 258, 268, 280, 302, 354, 385, 392
Aanpassend:     5, 15, 20, 22, 37, 44, 47, 52, 77, 92, 95, 102, 121, 144, 159, 161, 188, 218, 268, 283, 291, 301, 302, 322, 323, 331, 337, 341, 343, 345, 347, 349, 354, 356, 367, 378, 384, 392, 393
Aantrekkelijk:	64, 81, 169, 228
Aardig: 	169, 258
Achterdochtig:	146, 191, 193
Acrobatisch:	54, 69, 71, 101, 119, 122, 154, 301, 319, 359, 368, 369, 389
Actief:		3, 4, 16, 25, 26, 28, 30, 78, 81, 114, 123, 131, 152, 156, 163, 164, 178, 185, 197, 220, 231, 232, 249, 257, 276, 297, 300, 309, 319, 332, 367, 375, 380
Afhankelijk:	30, 341
Afstandelijk:	320
Afwachtend:	349
Agressief:	23, 64, 77, 129, 137, 141, 147, 178, 205, 209, 219, 246, 330, 332, 346, 360, 370, 394
Angstig:	135, 136, 323
Apart:		97, 16
Argeloos:	41, 42, 236, 278, 315, 372
Arglistig:	289
Assertief:	157
Atletisch:	66, 68, 103, 320
Bedaard:	34, 241, 289, 325, 378
Bedachtzaam:	46, 159, 314
Bedreven:	3
Bedrijvig:	6, 71, 84, 162, 172, 180, 184, 227, 228, 357, 391, 395
Begaafd:	14, 58, 95, 100, 191, 209, 228, 318, 396
Begrijpend:	352, 393
Beheerst:	302, 323, 334, 340, 355, 394
Behendig:	1, 3, 14, 37, 55, 61, 68, 69, 97, 91, 100, 102, 104, 105, 106, 110, 115, 120, 130, 131, 134, 138, 150, 164, 168, 170, 186, 188, 209, 210, 213, 215, 224, 226, 228, 233, 243, 249, 253, 255, 266, 268, 274, 276, 278, 279, 287, 288, 294, 304, 316, 318, 320, 331, 339, 342, 343, 352, 355, 357, 359, 368, 370, 371, 374, 381, 383, 389, 394, 395, 396
Behoedzaam:	12, 37, 67, 123, 142, 226
Behulpzaam:	16, 28, 252, 300, 307, 311, 314, 320, 333, 338, 347, 370, 379
Bekoorlijk:	375
Beminnelijk:	41, 364
Bescheiden:	309, 337
Beschermend:	148, 308, 311, 334, 342, 344
Betrouwbaar:	139
Bevallig:	41, 65, 229, 262, 282, 379, 390
Bevreesd:	113
Beweeglijk:	2, 33, 40, 58, 59, 92, 93, 131, 180, 189, 197, 209, 226, 244, 262, 277, 282, 319, 365, 374, 390 , 396
Bewonderenswaardig:  371
Bezorgd:	8, 20, 218, 239, 309
Bizar:		374
Blij:		33, 81, 337, 365, 375, 383
Bouwlustig:	3, 61, 71
Brutaal:	6, 16, 38, 238, 240, 327, 329, 364
Charmant:	120
Creatief:	163, 301
Dankbaar:	46, 155, 211, 212, 230, 324, 347, 350
Dapper:		16, 38, 185, 319, 322, 324, 329, 354, 355, 381
Dartel:		59, 71, 285
Deftig:		223, 230
Degelijk:	60
Doelgericht:	4, 45, 134, 138
Doordacht:	241, 322, 325, 350
Doortastend:	320
Doorzettend:	107, 133, 30
Driftig:	135, 228, 239
Druk:		16, 354, 372
Edel:		192, 202, 229, 342, 349, 355, 371, 395
Eenzelvig:	83, 113
Eerlijk:	73, 304, 314, 347
Eigenaardig:	84, 206
Eigenwijs:	264, 276, 348
Elegant:	14, 105, 147, 318, 324, 395
Energiek:	247, 334, 354, 389
Enthousiast:	311, 331, 376
Ernstig:	15, 157, 171
Ervaringsgericht:333, 343, 351, 354
Evenwichtig:	43, 90, 147, 343
Expressief:	17, 112, 159
Familiaal:	13, 134, 233, 258, 329, 333, 334, 342, 344, 346, 363, 377, 381, 384, 392, 308, 314
Fel:		130, 190, 336, 348, 377, 389
Fier:		17, 63, 109, 135, 136, 140, 146, 158, 229, 342
Fijngevoelig:	280
Flexibel:	11, 139, 331, 341, 345, 347, 384
Flink:		368, 371
Fors:		214, 389
Fraai:		47, 149, 178, 182, 213, 267, 310, 318, 367
Gedienstig:	304, 314, 320
Gedisciplineerd:107, 304, 337
Geducht:	101, 330, 332
Geduldig:	11, 14, 17, 104, 107, 136, 151, 167, 179, 200, 245, 252, 318, 320, 322, 329, 333, 302
Gehard:		4, 19, 166, 173, 305, 310, 313, 323, 388
Gehecht:	11, 52, 56, 139, 146, 153, 161
Gehoorzaam:	111, 132, 133, 179, 387
Geinteresseerd:	25, 320
Gelaten:	305, 385
Geliefd:	49, 65, 86, 150, 153, 165, 280, 324
Gemakzuchtig:	38
Gemoedelijk:	22, 44, 121, 144
Genotzuchtig:	5
Geruisloos:	177, 292
Geslepen:	95
Gesloten:	311
Gespierd:	183, 213, 247, 281, 381
Gevaarlijk:	22, 44, 121, 144, 151, 342, 360
Gevat:		391
Gevoelig:	12, 17, 82, 135, 256, 286, 314, 345, 361
Gewillig:	252
Gezellig:	22, 30, 35, 39, 44, 58, 59, 72, 103, 104, 107, 121, 144, 164, 176, 188, 192, 203, 206, 209, 211, 212, 265, 266, 278, 288, 315, 317, 334, 354, 368, 373, 386, 396
Goed geheugen:	46, 126, 157, 171, 173, 190, 211, 212, 252, 269, 273, 354, 372
Goedaardig:	29, 33, 63, 158, 171, 223, 237, 261, 262, 280, 282, 317, 390
Goedgehumeurd:	170, 171, 256, 268, 337
Goedhartig:	361
Gracieus:	100, 108, 169, 186, 275, 349, 371, 395
Grappig:	5, 6, 39, 109, 129, 162, 181, 287, 301, 351, 354, 385
Grillig:	355
Groot:		12, 14, 21, 22, 24, 35, 75, 98, 112, 121, 144, 202, 252, 290, 318, 378, 393
Guitig:		319, 345, 379
Gulzig:		117, 141, 142, 286
Handig:		203, 211, 212, 223, 240, 250, 370, 384
Hardnekkig:	9, 17, 313, 348
Hardwerkend:	28, 73, 252
Hartstochtelijk:126, 173, 186, 273
Hebzuchtig:	344
Hecht:		310, 314, 330, 337, 348, 385, 395
Hierarchisch:	20, 107, 331, 338, 342, 343, 358, 363, 384
Honkvast:	257, 260, 322, 336, 355, 377
Hoogbegaafd:	316
Huiselijk:	103
Hulpvaardig:	77, 111, 334, 350, 356
Humeurig:	198, 264, 269
Ijdel:		124, 209, 313, 396
Ijverig:	57, 71, 193, 229, 231, 311
Imiterend:	5, 20, 25, 61, 64, 79, 95, 122, 336, 366, 396
Imponerend:	4, 17, 70
improviserend:	22, 44, 121, 144
Impulsief:	10, 133
Indrukwekkend:	112
Ingenieus:	27, 339, 349
Ingewikkeld:	339, 354
Innemend:	328
Intelligent:	39, 78, 90, 95, 106, 112, 139, 163, 216, 245, 252, 260, 379
Intens:		321, 336, 340
Interessant:	367
Intimiderend:	59, 60, 112
Inventief:	26
Inzettend:	312, 324
Jaloers:	46, 270, 352
Kalm:		17, 42, 43, 192, 198, 272, 302, 303, 304, 313, 323, 327
Kibbelend:	358, 382
Kieskeurig:	3, 9, 192, 221
Klein:		6, 16, 31, 32, 39, 43, 50, 53, 62, 68, 80, 84, 88, 118, 124, 128, 131, 170, 195, 201, 203, 208, 235, 295, 322, 348, 351, 355, 359, 391
Kleinzerig:	280
Knap:		247
Koddig:		25
Komediant:	386
Komisch:	44
Koninklijk:	17
Koppig:		9, 30, 78, 343
Krachtig:	43, 77, 86, 91, 98, 108, 118, 146, 194, 262, 287, 295, 299, 313, 324, 325, 329, 360, 364, 368, 371, 384, 389, 390, 391
Kunstig:	164, 382, 395
Kunstzinnig:	301
Kwetsbaar:	357
Kwetterend:	55, 61, 74, 82, 380
Langzaam:	34, 62, 107, 293
Lawaaierig:	43, 106, 126, 138, 169, 173, 273
Leergierig:	14, 17, 29, 36, 120, 133, 153, 201, 225, 245, 252, 272, 287, 318, 321, 346, 351, 373, 310 
Leidinggevend:	20, 201, 393
Lenig:		62, 106, 120, 132, 147, 213, 215, 310, 313, 322, 324, 345, 359
Levendig:	2, 14, 40, 49, 58, 78, 81, 95, 100, 109, 116, 152, 160, 170, 176, 203, 204, 211, 212, 224, 262, 265, 278, 282, 300, 301, 316, 318, 334, 335, 345, 359, 373, 390
Levenslustig:	216, 375
Lichtzinnig:	315
Lief:		387
Liefdevol:	55
